drug_event_pair,drug,event,is_anomaly,anomaly_score,count,prr,ror,chi2,serious_rate,death_rate,hosp_rate,life_threat_rate,disable_rate
Cetuximab||Speech disorder,Cetuximab,Speech disorder,True,0.7258132020254169,31.0,48.93338144032328,48.93338144032328,786.3477137844474,0.0,0.0,0.0,0.0,0.0
Niraparib||Platelet count decreased,Niraparib,Platelet count decreased,True,0.7223247364545577,120.0,6.8975566806075275,6.897556680607528,393.0081284648418,0.9083333333333333,0.03333333333333333,0.475,0.275,0.0
Erlotinib||Death,Erlotinib,Death,True,0.7223177171935732,194.0,5.591915870625052,5.591915870625052,530.1708909068501,1.0,1.0,0.05154639175257732,0.0,0.010309278350515464
Crizotinib||Disease progression,Crizotinib,Disease progression,True,0.7211679546962981,105.0,6.65838393252075,6.65838393252075,390.5475878392169,0.5333333333333333,0.45714285714285713,0.13333333333333333,0.01904761904761905,0.0
Gefitinib||Malignant neoplasm progression,Gefitinib,Malignant neoplasm progression,True,0.719806820098306,108.0,6.834713189563126,6.834713189563126,405.98857975430593,1.0,0.14814814814814814,0.17592592592592593,0.0,0.027777777777777776
Rucaparib||Nausea,Rucaparib,Nausea,True,0.7188023334358942,210.0,3.6665420893938148,3.666542089393815,296.9250670960613,0.4238095238095238,0.014285714285714285,0.20952380952380953,0.0,0.004761904761904762
Rucaparib||Fatigue,Rucaparib,Fatigue,True,0.7167590542890682,210.0,3.915040394473824,3.915040394473824,329.5256059625962,0.3904761904761905,0.01904761904761905,0.21904761904761905,0.004761904761904762,0.004761904761904762
Palbociclib||White blood cell count decreased,Palbociclib,White blood cell count decreased,True,0.7165908751091234,65.0,8.381957966830054,8.381957966830054,317.9728404417819,0.46153846153846156,0.0,0.12307692307692308,0.0,0.0
Olaparib||Nausea,Olaparib,Nausea,True,0.7162316053560059,112.0,2.621361536172622,2.6213615361726217,91.60393753581066,0.4642857142857143,0.0625,0.17857142857142858,0.017857142857142856,0.05357142857142857
Palbociclib||Fatigue,Palbociclib,Fatigue,True,0.7128606992276252,102.0,3.0400180528327434,3.0400180528327434,114.40602216517065,0.3431372549019608,0.049019607843137254,0.10784313725490197,0.0,0.00980392156862745
Epcoritamab||Diffuse large B-cell lymphoma refractory,Epcoritamab,Diffuse large B-cell lymphoma refractory,True,0.7123894028213413,96.0,0.0,0.0,3357.431596809044,1.0,0.5,0.16666666666666666,0.041666666666666664,0.0
Niraparib||Constipation,Niraparib,Constipation,True,0.7113864861795935,93.0,4.9119413495432855,4.9119413495432855,206.05595322106333,0.6881720430107527,0.043010752688172046,0.3118279569892473,0.0967741935483871,0.0
Dabrafenib||Pyrexia,Dabrafenib,Pyrexia,True,0.7105814544531958,103.0,5.340433721449004,5.340433721449004,284.23685149592427,0.7961165048543689,0.05825242718446602,0.5048543689320388,0.05825242718446602,0.0970873786407767
Carboplatin||Ovarian disorder,Carboplatin,Ovarian disorder,True,0.7086870972753886,21.0,73.90405904059041,73.90405904059041,359.17675802415226,1.0,0.19047619047619047,0.0,0.0,0.14285714285714285
Osimertinib||Death,Osimertinib,Death,True,0.7063855305316417,118.0,3.175650370582256,3.175650370582256,141.73741974021817,1.0,1.0,0.16101694915254236,0.00847457627118644,0.0
Erlotinib||Rash,Erlotinib,Rash,True,0.7036741005201371,95.0,5.5916170634920634,5.5916170634920634,279.4027584112528,0.9894736842105263,0.2736842105263158,0.3368421052631579,0.021052631578947368,0.031578947368421054
Nivolumab||Colitis,Nivolumab,Colitis,True,0.7026432971416045,55.0,16.71875,16.71875,559.4091762547865,1.0,0.0,1.0,0.01818181818181818,0.0
Imatinib||Gastrointestinal stromal tumour,Imatinib,Gastrointestinal stromal tumour,True,0.7019601803119445,25.0,330.73740118577075,330.73740118577075,579.1694850253909,1.0,0.12,0.04,0.0,0.04
Carfilzomib||Plasma cell myeloma,Carfilzomib,Plasma cell myeloma,True,0.7017342771272725,56.0,17.719523778998955,17.71952377899896,604.8974706455487,0.9821428571428571,0.6428571428571429,0.39285714285714285,0.017857142857142856,0.07142857142857142
Niraparib||Carbohydrate antigen 125 increased,Niraparib,Carbohydrate antigen 125 increased,True,0.7006565093740368,45.0,20.55084819486733,20.550848194867335,356.4730121489235,0.9111111111111111,0.044444444444444446,0.3111111111111111,0.15555555555555556,0.0
Talazoparib||Anaemia,Talazoparib,Anaemia,True,0.6987712282492824,70.0,6.304195231521562,6.304195231521561,252.10950461672059,0.8714285714285714,0.1,0.45714285714285713,0.12857142857142856,0.014285714285714285
Imatinib||Chronic myeloid leukaemia,Imatinib,Chronic myeloid leukaemia,True,0.6969399784951715,18.0,118.6506646971935,118.6506646971935,364.4667598965907,1.0,0.3888888888888889,0.0,0.0,0.0
Niraparib||Nausea,Niraparib,Nausea,True,0.6968443531570669,146.0,2.040193262517645,2.040193262517645,60.923902678172595,0.684931506849315,0.04794520547945205,0.3904109589041096,0.1232876712328767,0.00684931506849315
Vemurafenib||Hypercholesterolaemia,Vemurafenib,Hypercholesterolaemia,True,0.6950096331531277,6.0,214.7690271343481,214.7690271343481,176.69686114600805,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334
Palbociclib||Neutropenia,Palbociclib,Neutropenia,True,0.6947465436541889,83.0,5.874415696352465,5.8744156963524645,263.52886786427894,0.9759036144578314,0.024096385542168676,0.13253012048192772,0.0,0.0
Nivolumab||Malignant neoplasm progression,Nivolumab,Malignant neoplasm progression,True,0.6942791421279999,68.0,5.207242532579864,5.207242532579864,190.08991088111063,1.0,0.9264705882352942,0.7352941176470589,0.19117647058823528,0.014705882352941176
Dabrafenib||Panniculitis,Dabrafenib,Panniculitis,True,0.6923781232969106,17.0,199.79712981082844,199.79712981082844,484.930288041473,1.0,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941
Ribociclib||Nausea,Ribociclib,Nausea,True,0.6921712442068045,71.0,2.59395744622306,2.59395744622306,59.21065990481907,0.323943661971831,0.028169014084507043,0.16901408450704225,0.014084507042253521,0.028169014084507043
Cetuximab||Infusion related reaction,Cetuximab,Infusion related reaction,True,0.6912469969859902,36.0,24.646466165413536,24.646466165413536,558.0290912201376,0.8055555555555556,0.027777777777777776,0.1388888888888889,0.16666666666666666,0.0
Olaparib||Product use issue,Olaparib,Product use issue,True,0.6870355098027521,36.0,18.684993475424097,18.684993475424097,349.7175087364181,0.75,0.3055555555555556,0.16666666666666666,0.027777777777777776,0.0
Nivolumab||Pyrexia,Nivolumab,Pyrexia,True,0.6860912192503681,60.0,3.748297054282341,3.748297054282341,102.65210558518287,0.9666666666666667,0.1,0.9333333333333333,0.03333333333333333,0.016666666666666666
Vemurafenib||Rash,Vemurafenib,Rash,True,0.6858830069657462,60.0,3.4664259966817803,3.4664259966817808,88.82317901703269,0.85,0.23333333333333334,0.21666666666666667,0.016666666666666666,0.1
Venetoclax||Chronic lymphocytic leukaemia,Venetoclax,Chronic lymphocytic leukaemia,True,0.684740972877415,14.0,111.97728613569322,111.97728613569322,391.1536485005666,1.0,0.6428571428571429,0.5,0.14285714285714285,0.0
Durvalumab||Product use in unapproved indication,Durvalumab,Product use in unapproved indication,True,0.6840872930785097,28.0,34.31958902257672,34.31958902257672,503.4236595830521,0.42857142857142855,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.03571428571428571
Niraparib||Thrombocytopenia,Niraparib,Thrombocytopenia,True,0.6827268859946528,69.0,3.004274264468235,3.004274264468235,72.09444768641825,0.9710144927536232,0.18840579710144928,0.6376811594202898,0.391304347826087,0.0
Pomalidomide||Death,Pomalidomide,Death,True,0.6806840441991289,78.0,2.9994268345636126,2.9994268345636126,87.1980506473567,1.0,1.0,0.10256410256410256,0.0,0.02564102564102564
Niraparib||Red blood cell count decreased,Niraparib,Red blood cell count decreased,True,0.6799145339819143,48.0,10.037428336775294,10.037428336775294,229.78365439947103,0.9583333333333334,0.08333333333333333,0.3541666666666667,0.1875,0.0
Abemaciclib||Nausea,Abemaciclib,Nausea,True,0.6796114402159468,69.0,2.3156628382176443,2.3156628382176443,44.18543631034808,0.36231884057971014,0.0,0.2028985507246377,0.0,0.0
Ibrutinib||Lymphocyte count increased,Ibrutinib,Lymphocyte count increased,True,0.6795238214927125,13.0,108.95978260869565,108.95978260869565,315.08103369503857,0.8461538461538461,0.23076923076923078,0.38461538461538464,0.07692307692307693,0.0
Pembrolizumab||Fatigue,Pembrolizumab,Fatigue,True,0.6794534668025661,57.0,2.1204997375328083,2.1204997375328083,29.386074210578055,0.2807017543859649,0.03508771929824561,0.22807017543859648,0.017543859649122806,0.017543859649122806
Epcoritamab||Cytomegalovirus enterocolitis,Epcoritamab,Cytomegalovirus enterocolitis,True,0.6791823432954777,2.0,71.98669328010645,71.98669328010645,45.34277173029371,1.0,1.0,1.0,1.0,0.5
Olaparib||Fatigue,Olaparib,Fatigue,True,0.6788308243228172,86.0,2.0617714399198306,2.0617714399198306,39.60150442859816,0.5813953488372093,0.09302325581395349,0.1744186046511628,0.011627906976744186,0.046511627906976744
Abemaciclib||Fatigue,Abemaciclib,Fatigue,True,0.677873760816925,63.0,2.219673217016396,2.219673217016396,36.46808427285143,0.2698412698412698,0.0,0.09523809523809523,0.0,0.0
Rucaparib||Drug dose omission,Rucaparib,Drug dose omission,True,0.6739378898915479,44.0,9.219862320709424,9.219862320709426,205.89652450326224,0.5454545454545454,0.0,0.3409090909090909,0.0,0.0
Rucaparib||Vomiting,Rucaparib,Vomiting,True,0.6738780049300414,81.0,2.069261644318984,2.069261644318984,36.86740153419239,0.49382716049382713,0.037037037037037035,0.30864197530864196,0.0,0.0
Crizotinib||Vitreous floaters,Crizotinib,Vitreous floaters,True,0.6733712341976467,8.0,88.02753036437245,88.02753036437247,222.8480341843441,0.125,0.0,0.0,0.0,0.0
Rituximab||Disease progression,Rituximab,Disease progression,True,0.6729383776917816,88.0,3.207149950347567,3.207149950347567,108.83915975494348,1.0,0.6363636363636364,0.045454545454545456,0.0,0.0
Ipilimumab||Colitis,Ipilimumab,Colitis,True,0.6726067663713395,48.0,12.429428710890766,12.429428710890766,365.5612675443482,1.0,0.1875,0.7708333333333334,0.0625,0.0
Cetuximab||Malaise,Cetuximab,Malaise,True,0.6725858659230618,36.0,6.601578308377175,6.601578308377175,145.60257783486915,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0
Niraparib||Fatigue,Niraparib,Fatigue,True,0.6721757028699561,106.0,1.5029322660901607,1.5029322660901607,14.624849031354273,0.7452830188679245,0.04716981132075472,0.37735849056603776,0.12264150943396226,0.0
Vemurafenib||Disease progression,Vemurafenib,Disease progression,True,0.6718599964967871,57.0,2.6305110576173734,2.6305110576173734,49.5699758885015,0.9122807017543859,0.6140350877192983,0.08771929824561403,0.017543859649122806,0.12280701754385964
Venetoclax||Febrile neutropenia,Venetoclax,Febrile neutropenia,True,0.6711692217238515,44.0,4.066179476872228,4.066179476872228,86.58397117925345,1.0,0.20454545454545456,1.0,0.20454545454545456,0.022727272727272728
Niraparib||Blood pressure increased,Niraparib,Blood pressure increased,True,0.670889358541823,39.0,12.504857216173614,12.504857216173614,223.3543936185072,0.8461538461538461,0.02564102564102564,0.38461538461538464,0.20512820512820512,0.0
Lenalidomide||Plasma cell myeloma,Lenalidomide,Plasma cell myeloma,True,0.6696925594991238,40.0,11.013007049079661,11.013007049079661,278.7849050882621,1.0,0.55,0.25,0.075,0.025
Doxorubicin||Disease progression,Doxorubicin,Disease progression,True,0.6691189755516618,82.0,3.1457852168898497,3.1457852168898497,98.75448421667089,1.0,0.5121951219512195,0.036585365853658534,0.0,0.0
Cetuximab||Dry skin,Cetuximab,Dry skin,True,0.6686927102277207,28.0,16.545482084126707,16.54548208412671,309.40147628524204,0.07142857142857142,0.0,0.0,0.0,0.0
Rucaparib||Decreased appetite,Rucaparib,Decreased appetite,True,0.6680959267974285,74.0,3.0366971687042676,3.0366971687042676,80.4558413171832,0.527027027027027,0.04054054054054054,0.2702702702702703,0.0,0.0
Imatinib||Second primary malignancy,Imatinib,Second primary malignancy,True,0.6677884788781427,34.0,34.73918686772285,34.73918686772285,457.0532239980442,1.0,0.058823529411764705,0.08823529411764706,0.0,0.029411764705882353
Niraparib||Decreased appetite,Niraparib,Decreased appetite,True,0.6674200308634529,58.0,1.9918985423448683,1.9918985423448683,23.58159290990016,0.7413793103448276,0.034482758620689655,0.3275862068965517,0.15517241379310345,0.0
Olaparib||Off label use,Olaparib,Off label use,True,0.6667273074794827,49.0,3.7891318900090707,3.7891318900090702,83.33914173176305,0.7346938775510204,0.2857142857142857,0.22448979591836735,0.02040816326530612,0.0
Pembrolizumab||Vitiligo,Pembrolizumab,Vitiligo,True,0.6663921420038511,5.0,115.59048428207308,115.59048428207306,158.15702076027554,0.0,0.0,0.0,0.0,0.0
Durvalumab||Immune thrombocytopenic purpura,Durvalumab,Immune thrombocytopenic purpura,True,0.6643491388057214,8.0,62.67357512953368,62.67357512953368,202.2950462296118,1.0,1.0,0.0,0.0,0.0
Crizotinib||Death,Crizotinib,Death,True,0.6641442291862328,78.0,2.5143384165829605,2.5143384165829605,60.16665417368076,1.0,1.0,0.07692307692307693,0.0,0.0
Lenalidomide||Campylobacter gastroenteritis,Lenalidomide,Campylobacter gastroenteritis,True,0.6637200942845632,1.0,46.20033955857385,46.20033955857385,21.62340786925404,1.0,1.0,1.0,1.0,0.0
Crizotinib||Non-small cell lung cancer,Crizotinib,Non-small cell lung cancer,True,0.6631941926865589,18.0,36.29320964749536,36.29320964749536,327.23722130456713,0.8333333333333334,0.7777777777777778,0.3333333333333333,0.1111111111111111,0.0
Rucaparib||Constipation,Rucaparib,Constipation,True,0.6631421137415802,60.0,3.2753284398522604,3.2753284398522604,75.25203827758496,0.5166666666666667,0.0,0.26666666666666666,0.0,0.0
Imatinib||Death,Imatinib,Death,True,0.6614903464316214,79.0,1.4841263379363265,1.4841263379363268,10.651749260343747,1.0,1.0,0.012658227848101266,0.0,0.0
Nivolumab||Tri-iodothyronine free decreased,Nivolumab,Tri-iodothyronine free decreased,True,0.6613907734595301,2.0,90.90058479532162,90.90058479532163,57.898439938188744,1.0,1.0,1.0,1.0,0.0
Ipilimumab||Malignant neoplasm progression,Ipilimumab,Malignant neoplasm progression,True,0.6612665049563315,60.0,4.029267804163589,4.029267804163589,114.92305793844206,1.0,0.5666666666666667,0.5166666666666667,0.05,0.03333333333333333
Venetoclax||Neutropenia,Venetoclax,Neutropenia,True,0.6612333864440425,46.0,3.3726037051403224,3.3726037051403224,66.13376033006229,0.8260869565217391,0.15217391304347827,0.5434782608695652,0.10869565217391304,0.021739130434782608
Epcoritamab||Product dose omission issue,Epcoritamab,Product dose omission issue,True,0.660588247507279,11.0,79.65649263721552,79.65649263721554,257.8385440971884,0.5454545454545454,0.09090909090909091,0.45454545454545453,0.0,0.0
Vemurafenib||Arthralgia,Vemurafenib,Arthralgia,True,0.6604982246220827,41.0,6.801388888888889,6.801388888888889,161.19438568859664,0.8780487804878049,0.0,0.24390243902439024,0.024390243902439025,0.07317073170731707
Durvalumab||Immune-mediated hepatitis,Durvalumab,Immune-mediated hepatitis,True,0.6603794986365494,8.0,125.35405872193436,125.35405872193436,261.6870835121716,1.0,0.0,0.625,0.0,0.0
Ribociclib||Fatigue,Ribociclib,Fatigue,True,0.6603377350277265,51.0,1.9091585057752918,1.9091585057752918,19.41068902894263,0.3333333333333333,0.0196078431372549,0.09803921568627451,0.0196078431372549,0.0196078431372549
Olaparib||Anaemia,Olaparib,Anaemia,True,0.6585703441401636,54.0,2.869917846320768,2.869917846320768,55.705481681748594,0.8148148148148148,0.12962962962962962,0.4074074074074074,0.05555555555555555,0.037037037037037035
Ipilimumab||Diarrhoea,Ipilimumab,Diarrhoea,True,0.6584666474475259,74.0,2.456953750244303,2.4569537502443035,54.385352942292165,0.918918918918919,0.12162162162162163,0.7432432432432432,0.05405405405405406,0.02702702702702703
Epcoritamab||Immune effector cell-associated neurotoxicity syndrome,Epcoritamab,Immune effector cell-associated neurotoxicity syndrome,True,0.6584336130336973,38.0,0.0,0.0,1328.9833404035803,1.0,0.39473684210526316,0.5263157894736842,0.18421052631578946,0.0
Doxorubicin||Febrile neutropenia,Doxorubicin,Febrile neutropenia,True,0.6581473783247133,59.0,4.063665029723443,4.063665029723443,111.07234618200131,1.0,0.2033898305084746,0.5423728813559322,0.06779661016949153,0.0
Rucaparib||Off label use,Rucaparib,Off label use,True,0.6577733090515687,51.0,2.657233322025223,2.657233322025223,43.085011905213754,0.4117647058823529,0.058823529411764705,0.21568627450980393,0.0,0.0
Gefitinib||Diarrhoea,Gefitinib,Diarrhoea,True,0.6570305646935374,71.0,1.9723405845854824,1.9723405845854824,29.202606786429374,0.9154929577464789,0.352112676056338,0.4084507042253521,0.014084507042253521,0.056338028169014086
Durvalumab||Pulmonary alveolar haemorrhage,Durvalumab,Pulmonary alveolar haemorrhage,True,0.656619643435211,9.0,52.924589455488324,52.92458945548833,209.57492929791496,1.0,1.0,0.0,0.0,0.0
Niraparib||Headache,Niraparib,Headache,True,0.6560392476450978,48.0,2.7562921741118838,2.7562921741118838,42.83961965893554,0.7083333333333334,0.041666666666666664,0.3125,0.10416666666666667,0.0
Imatinib||Leukaemia recurrent,Imatinib,Leukaemia recurrent,True,0.6553369826140393,12.0,63.09278350515464,63.09278350515464,206.49398713986375,1.0,0.5833333333333334,0.08333333333333333,0.0,0.0
Durvalumab||Pneumonitis,Durvalumab,Pneumonitis,True,0.6551840967408623,38.0,11.013928052636075,11.013928052636077,265.83279432882205,1.0,0.23684210526315788,0.6052631578947368,0.10526315789473684,0.02631578947368421
Cetuximab||Skin disorder,Cetuximab,Skin disorder,True,0.654601140200633,17.0,27.7517984537775,27.7517984537775,294.4579888509432,0.058823529411764705,0.0,0.0,0.0,0.0
Abemaciclib||Vomiting,Abemaciclib,Vomiting,True,0.6543364653779885,48.0,2.6187216636043744,2.6187216636043744,41.99398390248857,0.3541666666666667,0.0,0.2916666666666667,0.0,0.0
Bortezomib||Plasma cell myeloma,Bortezomib,Plasma cell myeloma,True,0.6541728823531096,40.0,7.763272787628181,7.763272787628182,180.66426053129868,1.0,0.35,0.275,0.1,0.05
Osimertinib||Nail infection,Osimertinib,Nail infection,True,0.6538539213319763,2.0,69.97540453074434,69.97540453074434,44.00761949542507,1.0,1.0,0.5,0.5,0.0
Durvalumab||Myocarditis,Durvalumab,Myocarditis,True,0.6525421089337308,9.0,47.04321521175453,47.043215211754536,196.9726521149372,1.0,0.3333333333333333,0.8888888888888888,0.5555555555555556,0.0
Venetoclax||Pseudomonal sepsis,Venetoclax,Pseudomonal sepsis,True,0.6520100264659462,3.0,119.01901975128017,119.01901975128017,85.41899201706332,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0
Ipilimumab||Death,Ipilimumab,Death,True,0.6518565014350346,67.0,1.9730905549212887,1.9730905549212887,27.716651712595286,1.0,1.0,0.208955223880597,0.029850746268656716,0.0
Olaparib||Vomiting,Olaparib,Vomiting,True,0.6517564281925389,54.0,1.9715386859139459,1.9715386859139459,22.399989558169818,0.5370370370370371,0.09259259259259259,0.2962962962962963,0.037037037037037035,0.037037037037037035
Niraparib||Vomiting,Niraparib,Vomiting,True,0.6515603484649025,72.0,1.5750424237197422,1.5750424237197422,12.588369257530253,0.7638888888888888,0.041666666666666664,0.5138888888888888,0.06944444444444445,0.013888888888888888
Bortezomib||Plasma cell leukaemia,Bortezomib,Plasma cell leukaemia,True,0.6515572952109208,4.0,65.88522588522588,65.88522588522588,82.48006416115257,1.0,1.0,0.25,0.0,0.25
Bevacizumab||Endophthalmitis,Bevacizumab,Endophthalmitis,True,0.6512262416269198,8.0,246.58500286204918,246.58500286204924,209.5867530225894,1.0,0.0,0.0,0.0,0.0
Niraparib||Haemoglobin decreased,Niraparib,Haemoglobin decreased,True,0.6503385526086358,47.0,3.8371447830781613,3.8371447830781618,74.77679378332135,0.9574468085106383,0.0851063829787234,0.3829787234042553,0.23404255319148937,0.0
Talazoparib||Thrombocytopenia,Talazoparib,Thrombocytopenia,True,0.6501509344832778,46.0,5.209654825315606,5.2096548253156065,131.67870694514718,1.0,0.2826086956521739,0.5,0.17391304347826086,0.021739130434782608
Rucaparib||Diarrhoea,Rucaparib,Diarrhoea,True,0.6495272587591762,63.0,0.9631564078052871,0.9631564078052871,0.07674008209348149,0.47619047619047616,0.0,0.30158730158730157,0.0,0.0
Cetuximab||Exfoliative rash,Cetuximab,Exfoliative rash,True,0.6492857511351365,2.0,125.23340961098398,125.23340961098398,80.68044391318168,0.0,0.0,0.0,0.0,0.0
Niraparib||Dizziness,Niraparib,Dizziness,True,0.6492458263657371,45.0,2.514242156784081,2.5142421567840807,33.15207455225582,0.8,0.044444444444444446,0.3111111111111111,0.13333333333333333,0.0
Rucaparib||Malignant neoplasm progression,Rucaparib,Malignant neoplasm progression,True,0.6478308681129263,62.0,1.961910122900835,1.9619101229008349,24.4432589154911,0.7258064516129032,0.16129032258064516,0.3870967741935484,0.0,0.0
Bortezomib||Amyloidosis,Bortezomib,Amyloidosis,True,0.6473736469184121,3.0,98.76937156802929,98.76937156802929,70.31117824574876,1.0,0.6666666666666666,0.0,0.0,0.0
Gefitinib||Hyperplasia,Gefitinib,Hyperplasia,True,0.6472966923321389,7.0,121.63344051446946,121.63344051446946,180.0638919686617,1.0,0.0,0.0,0.0,0.0
Lenalidomide||Death,Lenalidomide,Death,True,0.6471354636911029,52.0,1.7025924818274167,1.7025924818274167,13.253816011681023,1.0,1.0,0.1346153846153846,0.0,0.019230769230769232
Gefitinib||Death,Gefitinib,Death,True,0.6469329487849879,65.0,1.6055700062575373,1.6055700062575373,12.876330594131069,1.0,1.0,0.16923076923076924,0.015384615384615385,0.015384615384615385
Ibrutinib||White blood cell count increased,Ibrutinib,White blood cell count increased,True,0.646414866658434,26.0,25.831927511142215,25.831927511142215,335.7474516927339,0.8846153846153846,0.23076923076923078,0.5,0.038461538461538464,0.0
Trastuzumab||Diarrhoea,Trastuzumab,Diarrhoea,True,0.6462911357249488,64.0,1.4082596680326818,1.408259668032682,6.572375862186434,0.703125,0.03125,0.453125,0.046875,0.03125
Crizotinib||Nausea,Crizotinib,Nausea,True,0.6462283877532375,51.0,1.680065249813572,1.680065249813572,12.368183402861192,0.4117647058823529,0.0392156862745098,0.27450980392156865,0.0,0.0
Bortezomib||Aplasia,Bortezomib,Aplasia,True,0.64608341626849,3.0,98.76937156802929,98.76937156802929,70.31117824574876,1.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
Rucaparib||Intentional underdose,Rucaparib,Intentional underdose,True,0.6460291476551097,20.0,43.91150956709418,43.91150956709418,245.7787706336905,0.55,0.05,0.3,0.0,0.0
Talazoparib||Ventricular arrhythmia,Talazoparib,Ventricular arrhythmia,True,0.6452704411134931,5.0,77.4622829490464,77.4622829490464,137.92642435184277,1.0,0.0,1.0,0.6,0.0
Erlotinib||Diarrhoea,Erlotinib,Diarrhoea,True,0.644789632115531,64.0,1.7068972059356982,1.7068972059356982,16.24420441708574,1.0,0.25,0.4375,0.0,0.03125
Venetoclax||Splenomegaly,Venetoclax,Splenomegaly,True,0.6447335040634739,9.0,44.823108008817044,44.823108008817044,175.8033116070832,0.8888888888888888,0.5555555555555556,0.7777777777777778,0.0,0.0
Cetuximab||Rash pustular,Cetuximab,Rash pustular,True,0.6442514271365386,8.0,45.84583158776707,45.84583158776707,198.10947277622074,0.125,0.0,0.125,0.0,0.0
Dabrafenib||Chills,Dabrafenib,Chills,True,0.6439713883868229,34.0,10.801616094986809,10.801616094986807,220.10972736028714,0.9117647058823529,0.14705882352941177,0.4117647058823529,0.029411764705882353,0.11764705882352941
Vemurafenib||Skin papilloma,Vemurafenib,Skin papilloma,True,0.6439436223777952,9.0,107.59416445623341,107.59416445623341,229.74136146951577,0.8888888888888888,0.2222222222222222,0.5555555555555556,0.0,0.0
Bortezomib||Toxicity to various agents,Bortezomib,Toxicity to various agents,True,0.6432232774628047,39.0,12.24541018300966,12.24541018300966,279.09570890477374,1.0,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.0
Ibrutinib||Chronic lymphocytic leukaemia transformation,Ibrutinib,Chronic lymphocytic leukaemia transformation,True,0.643020928489065,2.0,66.60086366440468,66.60086366440468,41.76758207323805,1.0,1.0,1.0,0.0,0.5
Palbociclib||Nausea,Palbociclib,Nausea,True,0.6420800959691421,56.0,1.4699377765383437,1.4699377765383437,7.379880200799926,0.44642857142857145,0.10714285714285714,0.25,0.0,0.0
Dabrafenib||Death,Dabrafenib,Death,True,0.641682373325806,57.0,1.4039479836722315,1.4039479836722315,5.807765977578477,1.0,1.0,0.21052631578947367,0.03508771929824561,0.017543859649122806
Docetaxel||Diarrhoea,Docetaxel,Diarrhoea,True,0.6412212432320842,57.0,1.2175496029479442,1.2175496029479442,1.9397309806951453,0.9473684210526315,0.10526315789473684,0.6491228070175439,0.07017543859649122,0.03508771929824561
Imatinib||Thrombocytosis,Imatinib,Thrombocytosis,True,0.6408880337540908,10.0,87.54618276933137,87.54618276933137,189.2262795647241,1.0,0.0,0.0,0.0,0.0
Pembrolizumab||Central nervous system haemorrhage,Pembrolizumab,Central nervous system haemorrhage,True,0.6406602810604348,1.0,46.08044030482642,46.08044030482642,21.563665519200256,1.0,1.0,0.0,1.0,0.0
