drug,event,is_anomaly,anomaly_score,count,prr,death_rate
Pembrolizumab,Stomatitis,No,0.4306,4,1.001,50.0%
Pembrolizumab,Thrombocytopenic purpura,No,0.4905,1,15.360,100.0%
Pembrolizumab,Face oedema,No,0.4479,2,7.685,50.0%
Pembrolizumab,Failure to thrive,No,0.4733,2,5.763,100.0%
Pembrolizumab,Platelet count decreased,Yes,0.5150,4,0.432,0.0%
Pembrolizumab,Unevaluable event,No,0.4521,1,0.605,0.0%
Pembrolizumab,Cardio-respiratory arrest,No,0.4160,1,2.094,100.0%
Pembrolizumab,Lethargy,No,0.4215,2,2.095,50.0%
Pembrolizumab,Oedema peripheral,No,0.4500,3,0.933,33.3%
Pembrolizumab,Hyperglycaemia,Yes,0.5910,10,6.266,0.0%
Pembrolizumab,Dyspnoea exertional,No,0.4523,2,2.304,0.0%
Pembrolizumab,Visual impairment,No,0.4153,2,0.949,50.0%
Pembrolizumab,Renal failure acute,No,0.4248,1,0.346,100.0%
Pembrolizumab,Diabetic ketoacidosis,No,0.3972,2,6.587,0.0%
Pembrolizumab,Vertigo,No,0.3815,2,2.095,0.0%
Pembrolizumab,Metastases to central nervous system,No,0.4459,4,1.692,25.0%
Pembrolizumab,Abdominal pain upper,No,0.4438,2,0.517,0.0%
Pembrolizumab,Back pain,No,0.4910,2,0.378,0.0%
Pembrolizumab,Hypoaesthesia,No,0.4540,1,0.430,0.0%
Pembrolizumab,Rhabdomyolysis,No,0.3845,2,4.391,0.0%
Pembrolizumab,Liver disorder,No,0.3659,1,0.808,0.0%
Pembrolizumab,Gout,No,0.3705,1,4.607,0.0%
Pembrolizumab,Meningitis,No,0.3636,1,3.291,0.0%
Pembrolizumab,Pneumonia viral,No,0.3988,1,11.519,0.0%
Pembrolizumab,Pneumothorax,No,0.3632,1,1.486,0.0%
Pembrolizumab,Thyroid disorder,No,0.3770,1,5.119,0.0%
Pembrolizumab,Streptococcal sepsis,No,0.4249,1,0.000,0.0%
Pembrolizumab,Adverse event,No,0.4899,4,2.675,25.0%
Pembrolizumab,Alopecia,No,0.4548,2,0.522,0.0%
Pembrolizumab,Malaise,No,0.4443,3,0.356,0.0%
Pembrolizumab,Pain in extremity,No,0.4735,5,1.124,0.0%
Pembrolizumab,Cardiac failure,No,0.3673,1,0.479,0.0%
Pembrolizumab,Hyperkalaemia,No,0.3826,2,3.073,0.0%
Pembrolizumab,Haemorrhage intracranial,No,0.3826,2,3.293,0.0%
Pembrolizumab,Convulsion,No,0.3664,1,0.780,0.0%
Pembrolizumab,Neurological symptom,No,0.3732,1,5.119,0.0%
Pembrolizumab,Skin hypopigmentation,Yes,0.6944,2,92.239,0.0%
Pembrolizumab,Alanine aminotransferase decreased,Yes,0.6167,1,46.080,0.0%
Pembrolizumab,Eosinophil count increased,No,0.4574,1,4.607,0.0%
Pembrolizumab,Chills,No,0.4778,3,0.966,0.0%
Pembrolizumab,Oropharyngeal pain,No,0.3681,1,0.648,0.0%
Pembrolizumab,Pleuritic pain,No,0.3741,1,5.759,0.0%
Pembrolizumab,Liver abscess,No,0.4535,1,23.040,0.0%
Pembrolizumab,Neutropenia,No,0.4710,2,0.153,0.0%
Pembrolizumab,White blood cell count decreased,No,0.4934,2,0.266,0.0%
Pembrolizumab,Dry eye,No,0.4443,1,1.645,0.0%
Pembrolizumab,Neuropathy peripheral,No,0.4605,2,0.406,0.0%
Pembrolizumab,Dysphagia,No,0.3914,2,0.630,0.0%
Pembrolizumab,Staphylococcus test positive,No,0.4905,1,15.360,100.0%
Pembrolizumab,Agitation,Yes,0.5071,4,12.316,25.0%
Pembrolizumab,Swelling face,No,0.3998,3,2.767,0.0%
Pembrolizumab,Gastrointestinal haemorrhage,No,0.4208,2,1.510,50.0%
Pembrolizumab,Alveolitis allergic,No,0.3737,1,4.607,0.0%
Pembrolizumab,Neck pain,No,0.4443,1,1.919,0.0%
Pembrolizumab,Micturition disorder,Yes,0.5309,1,46.080,0.0%
Pembrolizumab,Melaena,No,0.3628,1,1.706,0.0%
Pembrolizumab,Small intestinal obstruction,No,0.3798,2,1.843,0.0%
Pembrolizumab,Secondary adrenocortical insufficiency,No,0.3741,1,5.759,0.0%
Pembrolizumab,Diabetes mellitus,No,0.3640,1,1.096,0.0%
Pembrolizumab,Brain oedema,No,0.3707,1,2.559,0.0%
Pembrolizumab,Encephalitis,No,0.3741,1,5.759,0.0%
Pembrolizumab,Disseminated intravascular coagulation,No,0.4179,1,1.279,100.0%
Pembrolizumab,Blood fibrinogen decreased,Yes,0.5892,1,46.080,100.0%
Pembrolizumab,Abdominal distension,No,0.3679,1,0.523,0.0%
Pembrolizumab,Bacterial sepsis,No,0.3745,1,6.582,0.0%
Pembrolizumab,Deep vein thrombosis,No,0.4252,2,0.822,50.0%
Pembrolizumab,Myasthenia gravis,No,0.3636,1,3.544,0.0%
Pembrolizumab,Proctitis,No,0.3988,1,11.519,0.0%
Pembrolizumab,Acidosis,No,0.3988,1,11.519,0.0%
Pembrolizumab,Thyroxine free decreased,No,0.4163,1,15.360,0.0%
Pembrolizumab,Tri-iodothyronine free decreased,No,0.4535,1,23.040,0.0%
Pembrolizumab,Blood corticotrophin increased,No,0.4535,1,23.040,0.0%
Pembrolizumab,Gait disturbance,No,0.3872,2,0.869,0.0%
Pembrolizumab,Balance disorder,No,0.3655,1,0.921,0.0%
Pembrolizumab,Nervous system disorder,No,0.3648,1,1.535,0.0%
Pembrolizumab,Drug ineffective,No,0.4928,2,0.342,0.0%
Pembrolizumab,Respiratory distress,No,0.3803,2,2.711,0.0%
Pembrolizumab,Mental status changes,No,0.3815,2,2.143,0.0%
Pembrolizumab,Cardiac arrest,No,0.4836,3,2.231,100.0%
Pembrolizumab,Pemphigoid,No,0.4748,2,23.058,0.0%
Pembrolizumab,Ileus,No,0.3632,1,1.486,0.0%
Pembrolizumab,Heart rate increased,No,0.3705,1,0.590,0.0%
Pembrolizumab,Blood creatinine increased,No,0.4375,3,0.754,0.0%
Pembrolizumab,Bone neoplasm,Yes,0.5309,1,46.080,0.0%
Pembrolizumab,Post procedural haemorrhage,No,0.3745,1,6.582,0.0%
Pembrolizumab,Femur fracture,No,0.3705,1,4.607,0.0%
Pembrolizumab,Respiratory tract infection,No,0.4193,1,1.123,100.0%
Pembrolizumab,Cardiac tamponade,No,0.3639,1,4.188,0.0%
Pembrolizumab,Urinary tract infection,No,0.3688,1,0.231,0.0%
Pembrolizumab,Joint effusion,No,0.4535,1,23.040,0.0%
Pembrolizumab,Enterocolitis,No,0.3634,1,1.588,0.0%
Pembrolizumab,Abdominal discomfort,No,0.4557,1,0.333,0.0%
Pembrolizumab,Depressed level of consciousness,No,0.4182,1,2.710,100.0%
Pembrolizumab,Flank pain,No,0.4613,1,5.119,0.0%
Pembrolizumab,Intestinal mass,Yes,0.5554,1,23.040,0.0%
Pembrolizumab,Surgery,No,0.4468,1,3.291,0.0%
Pembrolizumab,Papule,No,0.4832,1,9.215,0.0%
Pembrolizumab,Oedema,No,0.4536,1,0.554,0.0%
Pembrolizumab,Gastroenteritis radiation,No,0.4249,1,0.000,0.0%
Pembrolizumab,Helicobacter infection,Yes,0.5309,1,46.080,0.0%
Pembrolizumab,Lichen planus,Yes,0.5309,1,46.080,0.0%
Pembrolizumab,Prerenal failure,No,0.3745,1,6.582,0.0%
Pembrolizumab,Eczema,No,0.4725,1,6.582,0.0%
Pembrolizumab,Synovitis,No,0.3988,1,11.519,0.0%
Pembrolizumab,Faecaloma,No,0.3937,1,9.215,0.0%
Pembrolizumab,Atrioventricular block,No,0.3937,1,9.215,0.0%
Pembrolizumab,Febrile neutropenia,No,0.3945,2,0.190,0.0%
Pembrolizumab,Acute respiratory failure,No,0.3632,1,1.486,0.0%
Pembrolizumab,Bronchospasm,No,0.3640,1,2.303,0.0%
Pembrolizumab,Toxic epidermal necrolysis,No,0.3632,1,2.194,0.0%
Pembrolizumab,Oedema genital,Yes,0.6167,1,46.080,0.0%
Pembrolizumab,Organising pneumonia,No,0.3741,1,5.759,0.0%
Pembrolizumab,Intestinal ischaemia,No,0.4471,1,7.679,100.0%
Pembrolizumab,Food intolerance,No,0.4665,1,11.519,100.0%
Pembrolizumab,Device related sepsis,No,0.4665,1,11.519,100.0%
Pembrolizumab,Cardiopulmonary failure,No,0.4369,1,4.607,100.0%
Pembrolizumab,Myositis,No,0.4406,2,6.587,50.0%
Pembrolizumab,Neuromyopathy,No,0.3988,1,11.519,0.0%
Pembrolizumab,Blood thyroid stimulating hormone decreased,No,0.4613,1,5.119,0.0%
Pembrolizumab,Transaminases increased,No,0.3858,2,1.355,0.0%
Pembrolizumab,Systemic inflammatory response syndrome,No,0.3610,1,2.710,0.0%
Pembrolizumab,Hepatic enzyme increased,No,0.4339,1,0.582,100.0%
Pembrolizumab,Haemolytic anaemia,No,0.3648,1,1.535,0.0%
Pembrolizumab,Hyperlipasaemia,Yes,0.5892,1,46.080,100.0%
Pembrolizumab,Lipase increased,No,0.4137,1,1.842,100.0%
Pembrolizumab,Ketoacidosis,No,0.4249,1,0.000,0.0%
Pembrolizumab,Bone pain,No,0.4539,1,0.541,0.0%
Pembrolizumab,Off label use,Yes,0.4979,2,0.213,50.0%
Pembrolizumab,Platelet count abnormal,No,0.4574,1,4.607,0.0%
Pembrolizumab,Blood lactate dehydrogenase increased,No,0.4722,3,3.642,0.0%
Pembrolizumab,Transfusion,No,0.4445,1,2.879,0.0%
Pembrolizumab,Platelet transfusion,No,0.4613,1,5.119,0.0%
Pembrolizumab,Dialysis,Yes,0.5213,1,23.040,100.0%
Pembrolizumab,Joint swelling,No,0.3653,1,0.794,0.0%
Pembrolizumab,Intraocular pressure decreased,No,0.4287,1,0.000,0.0%
Pembrolizumab,Hearing impaired,No,0.3687,1,2.303,0.0%
Pembrolizumab,Uveitis,No,0.3686,1,2.094,0.0%
Pembrolizumab,Metastatic ocular melanoma,Yes,0.4975,1,0.000,100.0%
Pembrolizumab,Clostridium difficile colitis,No,0.3631,1,1.919,0.0%
Pembrolizumab,Central nervous system haemorrhage,Yes,0.6036,1,46.080,100.0%
Pembrolizumab,Unresponsive to stimuli,No,0.4369,1,4.607,100.0%
Pembrolizumab,Lymphoedema,Yes,0.5075,2,7.094,50.0%
Pembrolizumab,Hypercalcaemia,No,0.4182,1,1.212,100.0%
Pembrolizumab,Histiocytosis haematophagic,No,0.4391,1,6.582,100.0%
Pembrolizumab,Renal tubular necrosis,No,0.4277,1,4.607,100.0%
Pembrolizumab,Metastases to lung,No,0.3640,1,1.123,0.0%
Pembrolizumab,Metastatic malignant melanoma,Yes,0.5142,4,8.396,75.0%
Pembrolizumab,Amnesia,No,0.3613,1,1.772,0.0%
Pembrolizumab,Personality change,No,0.4006,1,11.519,0.0%
Pembrolizumab,Axillary pain,No,0.4249,1,0.000,0.0%
Pembrolizumab,Hypoxia,No,0.4513,4,2.073,50.0%
Pembrolizumab,Erysipelas,No,0.3705,1,4.607,0.0%
Pembrolizumab,Diverticular perforation,No,0.3988,1,11.519,0.0%
Pembrolizumab,Throat irritation,No,0.4455,1,2.424,0.0%
Pembrolizumab,Injection site mass,Yes,0.5554,1,23.040,0.0%
Pembrolizumab,Musculoskeletal stiffness,No,0.4443,1,1.919,0.0%
Pembrolizumab,Joint stiffness,No,0.4738,1,7.679,0.0%
Pembrolizumab,Empyema,Yes,0.5309,1,46.080,0.0%
Pembrolizumab,Hyperprolactinaemia,No,0.4484,1,23.040,0.0%
Pembrolizumab,Lip ulceration,Yes,0.5000,1,11.519,0.0%
Pembrolizumab,Angiopathy,No,0.4391,1,6.582,100.0%
Pembrolizumab,Red blood cell count decreased,No,0.4248,1,0.354,100.0%
Pembrolizumab,Cancer pain,No,0.4471,1,7.679,100.0%
Pembrolizumab,Delirium,No,0.4587,2,2.634,100.0%
Pembrolizumab,Restlessness,No,0.4334,1,5.759,100.0%
Pembrolizumab,Pelvic pain,No,0.4221,1,3.839,100.0%
Pembrolizumab,Upper gastrointestinal haemorrhage,No,0.4194,1,2.424,100.0%
Pembrolizumab,Herpes zoster,No,0.4498,1,0.980,0.0%
Pembrolizumab,Inappropriate schedule of drug administration,No,0.4756,2,2.881,50.0%
Pembrolizumab,Tracheomalacia,Yes,0.4975,1,0.000,100.0%
Pembrolizumab,Tracheal disorder,Yes,0.5167,1,0.000,0.0%
Pembrolizumab,Tremor,No,0.4230,2,1.279,50.0%
Pembrolizumab,Tongue oedema,No,0.4249,1,0.000,0.0%
Pembrolizumab,Lip swelling,No,0.3610,1,2.710,0.0%
Pembrolizumab,Toxic encephalopathy,No,0.3937,1,9.215,0.0%
Pembrolizumab,Meningitis noninfective,No,0.4287,1,0.000,0.0%
Pembrolizumab,Pharyngeal oedema,No,0.3678,1,3.839,0.0%
Pembrolizumab,Hypertriglyceridaemia,No,0.4535,1,23.040,0.0%
Pembrolizumab,Malignant melanoma,No,0.4175,1,2.194,100.0%
Pembrolizumab,Multi-organ failure,No,0.4159,1,1.588,100.0%
Pembrolizumab,Hypophagia,No,0.4210,1,0.794,100.0%
Pembrolizumab,Malignant pleural effusion,No,0.4280,1,2.710,100.0%
Pembrolizumab,Respiratory disorder,No,0.4289,1,2.094,100.0%
Pembrolizumab,Lung disorder,No,0.4537,2,1.440,100.0%
Pembrolizumab,Depression,No,0.3692,1,0.630,0.0%
Pembrolizumab,Chest pain,No,0.4548,2,0.505,0.0%
Pembrolizumab,Hepatitis acute,Yes,0.6768,2,92.239,50.0%
Pembrolizumab,Incorrect route of drug administration,No,0.4574,1,4.607,0.0%
Pembrolizumab,Pulmonary endarterectomy,Yes,0.5011,1,0.000,100.0%
Pembrolizumab,Neutrophil count decreased,No,0.4608,1,0.278,0.0%
Pembrolizumab,Colitis microscopic,Yes,0.5298,1,46.080,0.0%
Pembrolizumab,Cerebral haemorrhage,No,0.4114,2,1.961,50.0%
Pembrolizumab,Acute myocardial infarction,No,0.3632,1,2.194,0.0%
Pembrolizumab,Angina unstable,No,0.3745,1,6.582,0.0%
Pembrolizumab,Lymphopenia,No,0.4901,2,3.293,50.0%
Pembrolizumab,Infectious pleural effusion,No,0.3821,1,7.679,0.0%
Pembrolizumab,Peptic ulcer,No,0.4163,1,15.360,0.0%
Pembrolizumab,Embolism,No,0.4179,1,1.279,100.0%
Pembrolizumab,Drug hypersensitivity,No,0.3634,1,1.645,0.0%
Pembrolizumab,Plasma cell myeloma,No,0.4617,1,0.217,0.0%
Pembrolizumab,Pain in jaw,No,0.3705,1,4.607,0.0%
Pembrolizumab,Myocardial necrosis marker increased,Yes,0.6167,1,46.080,0.0%
Pembrolizumab,Blood creatine phosphokinase MB increased,Yes,0.5554,1,23.040,0.0%
Pembrolizumab,Faecal incontinence,No,0.4613,1,5.119,0.0%
Pembrolizumab,Urinary incontinence,No,0.4491,1,2.559,0.0%
Pembrolizumab,Cytokine storm,Yes,0.5554,1,23.040,0.0%
Pembrolizumab,Haematemesis,No,0.3634,1,1.354,0.0%
Pembrolizumab,Therapeutic response unexpected,No,0.4490,1,6.582,100.0%
Pembrolizumab,Therapeutic response delayed,Yes,0.5011,1,0.000,100.0%
Pembrolizumab,Insomnia,No,0.4608,1,0.273,0.0%
Pembrolizumab,Restless legs syndrome,No,0.4613,1,5.119,0.0%
Pembrolizumab,Pancreatitis acute,No,0.3659,1,2.710,0.0%
Pembrolizumab,Pancytopenia,No,0.3798,1,0.205,0.0%
Pembrolizumab,Oral pain,No,0.4467,1,1.071,0.0%
Pembrolizumab,Neuralgia,No,0.3667,1,3.071,0.0%
Pembrolizumab,Basal cell carcinoma,No,0.3684,1,1.439,0.0%
Pembrolizumab,Myocarditis,No,0.3610,1,2.710,0.0%
Pembrolizumab,Ejection fraction decreased,No,0.3655,1,0.980,0.0%
Pembrolizumab,Arrhythmia,No,0.3648,1,1.535,0.0%
Pembrolizumab,Epilepsy,No,0.3624,1,3.071,0.0%
Pembrolizumab,Hypocalcaemia,No,0.4498,1,0.980,0.0%
Pembrolizumab,Weight decreased,No,0.3817,1,0.166,0.0%
Pembrolizumab,Cholestasis,No,0.3682,1,1.772,0.0%
Pembrolizumab,Hypoglycaemic coma,No,0.4249,1,0.000,0.0%
