drug,event,count,anomaly_score,prr,ror,chi2,serious_rate,death_rate,hosp_rate,rarity_score,reasons
Carfilzomib,Cardiac arrest,9,145,7.669,7.669,43.65,1.000,0.667,0.556,8.729,PRR=7.67 (显著关联); χ²=43.6 (统计显著); 死亡率=66.7%; 严重事件率=100.0%; 罕见+严重; 住院率=55.6%
Carfilzomib,Pulmonary hypertension,5,145,13.996,13.996,45.45,1.000,0.800,0.800,9.317,PRR=14.00 (显著关联); χ²=45.4 (统计显著); 死亡率=80.0%; 严重事件率=100.0%; 罕见+严重; 住院率=80.0%
Carfilzomib,Upper gastrointestinal haemorrhage,5,145,15.862,15.862,50.91,1.000,0.600,0.800,9.317,PRR=15.86 (显著关联); χ²=50.9 (统计显著); 死亡率=60.0%; 严重事件率=100.0%; 罕见+严重; 住院率=80.0%
Carfilzomib,Septic shock,7,145,3.622,3.622,12.00,1.000,0.714,0.571,8.980,PRR=3.62 (显著关联); χ²=12.0 (统计显著); 死亡率=71.4%; 严重事件率=100.0%; 罕见+严重; 住院率=57.1%
Carfilzomib,Hypertension,10,145,2.787,2.787,10.48,1.000,0.400,0.600,8.623,PRR=2.79 (显著关联); χ²=10.5 (统计显著); 死亡率=40.0%; 严重事件率=100.0%; 罕见+严重; 住院率=60.0%
Carfilzomib,Acute kidney injury,11,145,4.864,4.864,29.67,1.000,0.455,0.818,8.528,PRR=4.86 (显著关联); χ²=29.7 (统计显著); 死亡率=45.5%; 严重事件率=100.0%; 罕见+严重; 住院率=81.8%
Venetoclax,Cytomegalovirus infection,5,145,6.405,6.405,19.07,1.000,0.600,0.600,9.317,PRR=6.40 (显著关联); χ²=19.1 (统计显著); 死亡率=60.0%; 严重事件率=100.0%; 罕见+严重; 住院率=60.0%
Venetoclax,Acute myeloid leukaemia,7,145,7.953,7.953,34.39,1.000,1.000,0.429,8.980,PRR=7.95 (显著关联); χ²=34.4 (统计显著); 死亡率=100.0%; 严重事件率=100.0%; 罕见+严重; 住院率=42.9%
Venetoclax,Tumour lysis syndrome,17,145,14.801,14.801,153.74,1.000,0.294,0.882,8.093,PRR=14.80 (显著关联); χ²=153.7 (统计显著); 死亡率=29.4%; 严重事件率=100.0%; 罕见+严重; 住院率=88.2%
Venetoclax,Splenomegaly,9,145,44.823,44.823,175.80,0.889,0.556,0.778,8.729,PRR=44.82 (显著关联); χ²=175.8 (统计显著); 死亡率=55.6%; 严重事件率=88.9%; 罕见+严重; 住院率=77.8%
Venetoclax,Chronic lymphocytic leukaemia,14,145,111.977,111.977,391.15,1.000,0.643,0.500,8.287,PRR=111.98 (显著关联); χ²=391.2 (统计显著); 死亡率=64.3%; 严重事件率=100.0%; 罕见+严重; 住院率=50.0%
Ibrutinib,Subdural haematoma,9,145,21.495,21.495,103.33,1.000,0.333,1.000,8.729,PRR=21.50 (显著关联); χ²=103.3 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Ibrutinib,Ecchymosis,6,145,50.071,50.071,111.63,0.833,0.333,0.667,9.134,PRR=50.07 (显著关联); χ²=111.6 (统计显著); 死亡率=33.3%; 严重事件率=83.3%; 罕见+严重; 住院率=66.7%
Ibrutinib,Pleural effusion,16,145,2.586,2.586,13.84,1.000,0.375,0.875,8.153,PRR=2.59 (显著关联); χ²=13.8 (统计显著); 死亡率=37.5%; 严重事件率=100.0%; 罕见+严重; 住院率=87.5%
Ibrutinib,Lung infiltration,7,145,15.584,15.584,62.95,1.000,0.714,1.000,8.980,PRR=15.58 (显著关联); χ²=62.9 (统计显著); 死亡率=71.4%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Ibrutinib,Gingival bleeding,5,145,10.423,10.423,31.40,0.800,0.400,0.600,9.317,PRR=10.42 (显著关联); χ²=31.4 (统计显著); 死亡率=40.0%; 严重事件率=80.0%; 罕见+严重; 住院率=60.0%
Ibrutinib,Haemorrhage intracranial,5,145,6.669,6.669,19.43,1.000,0.800,0.800,9.317,PRR=6.67 (显著关联); χ²=19.4 (统计显著); 死亡率=80.0%; 严重事件率=100.0%; 罕见+严重; 住院率=80.0%
Ibrutinib,Acute respiratory failure,6,145,7.700,7.700,27.48,1.000,0.833,0.833,9.134,PRR=7.70 (显著关联); χ²=27.5 (统计显著); 死亡率=83.3%; 严重事件率=100.0%; 罕见+严重; 住院率=83.3%
Ibrutinib,Cerebral haemorrhage,12,145,10.860,10.860,78.11,0.917,0.750,0.667,8.441,PRR=10.86 (显著关联); χ²=78.1 (统计显著); 死亡率=75.0%; 严重事件率=91.7%; 罕见+严重; 住院率=66.7%
Ibrutinib,Petechiae,5,145,9.809,9.809,29.57,1.000,0.400,0.600,9.317,PRR=9.81 (显著关联); χ²=29.6 (统计显著); 死亡率=40.0%; 严重事件率=100.0%; 罕见+严重; 住院率=60.0%
Olaparib,Intestinal obstruction,7,145,3.846,3.846,12.53,1.000,0.286,0.429,8.980,PRR=3.85 (显著关联); χ²=12.5 (统计显著); 死亡率=28.6%; 严重事件率=100.0%; 罕见+严重; 住院率=42.9%
Talazoparib,Septic shock,7,145,3.537,3.537,11.50,1.000,0.857,1.000,8.980,PRR=3.54 (显著关联); χ²=11.5 (统计显著); 死亡率=85.7%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Talazoparib,Second primary malignancy,5,145,4.221,4.221,10.97,1.000,0.400,0.600,9.317,PRR=4.22 (显著关联); χ²=11.0 (统计显著); 死亡率=40.0%; 严重事件率=100.0%; 罕见+严重; 住院率=60.0%
Palbociclib,Breast cancer,7,145,6.628,6.628,27.20,0.857,0.286,0.429,8.980,PRR=6.63 (显著关联); χ²=27.2 (统计显著); 死亡率=28.6%; 严重事件率=85.7%; 罕见+严重; 住院率=42.9%
Ribociclib,Syncope,7,145,3.536,3.536,11.50,0.857,0.286,0.571,8.980,PRR=3.54 (显著关联); χ²=11.5 (统计显著); 死亡率=28.6%; 严重事件率=85.7%; 罕见+严重; 住院率=57.1%
Ribociclib,Pulmonary oedema,5,145,5.101,5.101,14.48,1.000,0.600,0.800,9.317,PRR=5.10 (显著关联); χ²=14.5 (统计显著); 死亡率=60.0%; 严重事件率=100.0%; 罕见+严重; 住院率=80.0%
Vemurafenib,Skin papilloma,9,145,107.594,107.594,229.74,0.889,0.222,0.556,8.729,PRR=107.59 (显著关联); χ²=229.7 (统计显著); 死亡率=22.2%; 严重事件率=88.9%; 罕见+严重; 住院率=55.6%
Vemurafenib,Gamma-glutamyltransferase increased,7,145,8.950,8.950,38.27,1.000,0.286,0.571,8.980,PRR=8.95 (显著关联); χ²=38.3 (统计显著); 死亡率=28.6%; 严重事件率=100.0%; 罕见+严重; 住院率=57.1%
Vemurafenib,Acne,7,145,4.639,4.639,17.11,1.000,0.286,0.429,8.980,PRR=4.64 (显著关联); χ²=17.1 (统计显著); 死亡率=28.6%; 严重事件率=100.0%; 罕见+严重; 住院率=42.9%
Vemurafenib,Rash erythematous,5,145,7.151,7.151,21.36,0.800,0.400,0.600,9.317,PRR=7.15 (显著关联); χ²=21.4 (统计显著); 死亡率=40.0%; 严重事件率=80.0%; 罕见+严重; 住院率=60.0%
Vemurafenib,Metastasis,7,145,13.192,13.192,55.79,1.000,0.429,0.429,8.980,PRR=13.19 (显著关联); χ²=55.8 (统计显著); 死亡率=42.9%; 严重事件率=100.0%; 罕见+严重; 住院率=42.9%
Vemurafenib,Toxic epidermal necrolysis,6,145,13.419,13.419,48.58,1.000,0.833,1.000,9.134,PRR=13.42 (显著关联); χ²=48.6 (统计显著); 死亡率=83.3%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Dabrafenib,Investigation,9,145,21.040,21.040,103.74,1.000,0.444,1.000,8.729,PRR=21.04 (显著关联); χ²=103.7 (统计显著); 死亡率=44.4%; 严重事件率=100.0%; 罕见+严重; 住院率=100.0%
Durvalumab,Myasthenia gravis,6,130,35.192,35.192,110.92,0.833,0.333,0.167,9.134,PRR=35.19 (显著关联); χ²=110.9 (统计显著); 死亡率=33.3%; 严重事件率=83.3%; 罕见+严重
Durvalumab,Immune thrombocytopenic purpura,8,130,62.674,62.674,202.30,1.000,1.000,0.000,8.847,PRR=62.67 (显著关联); χ²=202.3 (统计显著); 死亡率=100.0%; 严重事件率=100.0%; 罕见+严重
Durvalumab,Pulmonary alveolar haemorrhage,9,130,52.925,52.925,209.57,1.000,1.000,0.000,8.729,PRR=52.92 (显著关联); χ²=209.6 (统计显著); 死亡率=100.0%; 严重事件率=100.0%; 罕见+严重
Trastuzumab,Metastases to liver,9,130,3.361,3.361,12.79,1.000,0.222,0.222,8.729,PRR=3.36 (显著关联); χ²=12.8 (统计显著); 死亡率=22.2%; 严重事件率=100.0%; 罕见+严重
Trastuzumab,Breast cancer metastatic,9,130,4.945,4.945,23.11,1.000,0.333,0.333,8.729,PRR=4.94 (显著关联); χ²=23.1 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重
Bevacizumab,Haemorrhage,9,130,4.621,4.621,21.37,1.000,0.222,0.222,8.729,PRR=4.62 (显著关联); χ²=21.4 (统计显著); 死亡率=22.2%; 严重事件率=100.0%; 罕见+严重
Bevacizumab,Impaired healing,5,130,10.987,10.987,32.29,1.000,0.600,0.200,9.317,PRR=10.99 (显著关联); χ²=32.3 (统计显著); 死亡率=60.0%; 严重事件率=100.0%; 罕见+严重
Bevacizumab,Neuropathy peripheral,16,130,2.328,2.328,10.77,1.000,0.250,0.312,8.153,PRR=2.33 (显著关联); χ²=10.8 (统计显著); 死亡率=25.0%; 严重事件率=100.0%; 罕见+严重
Bevacizumab,Gastrointestinal perforation,8,130,12.325,12.325,57.30,1.000,0.500,0.250,8.847,PRR=12.32 (显著关联); χ²=57.3 (统计显著); 死亡率=50.0%; 严重事件率=100.0%; 罕见+严重
Bevacizumab,Skin discolouration,6,130,6.367,6.367,21.69,1.000,0.333,0.333,9.134,PRR=6.37 (显著关联); χ²=21.7 (统计显著); 死亡率=33.3%; 严重事件率=100.0%; 罕见+严重
Bevacizumab,Colitis ischaemic,6,130,16.790,16.790,55.63,1.000,1.000,0.000,9.134,PRR=16.79 (显著关联); χ²=55.6 (统计显著); 死亡率=100.0%; 严重事件率=100.0%; 罕见+严重
Bevacizumab,Migraine,6,130,7.694,7.694,26.97,1.000,1.000,0.000,9.134,PRR=7.69 (显著关联); χ²=27.0 (统计显著); 死亡率=100.0%; 严重事件率=100.0%; 罕见+严重
Rituximab,Rheumatoid arthritis,8,130,43.141,43.141,121.61,1.000,0.250,0.375,8.847,PRR=43.14 (显著关联); χ²=121.6 (统计显著); 死亡率=25.0%; 严重事件率=100.0%; 罕见+严重
Rituximab,Blood pressure systolic increased,5,130,67.310,67.310,89.74,1.000,0.400,0.200,9.317,PRR=67.31 (显著关联); χ²=89.7 (统计显著); 死亡率=40.0%; 严重事件率=100.0%; 罕见+严重
Rituximab,Hypogammaglobulinaemia,5,130,12.236,12.236,34.10,1.000,0.400,0.400,9.317,PRR=12.24 (显著关联); χ²=34.1 (统计显著); 死亡率=40.0%; 严重事件率=100.0%; 罕见+严重
